idx,class,conversation
20,기타 괴롭힘 대화,"야 저기 거지 지나간다
어디? 오 야!!! 거지!!!!!
야 저 새끼봐라? 못들은척하네? 야!!! !!!!
앞에가는 거지새끼!!! 이젠 귀도 멀었냐!! 
어쭈? 도망을가?
하 이새끼 어이없네. 니가 튀어봤자 어딜간다고 튀냐?
나 부른줄 몰랐어
나 부른 줄 몰랬어
구라치네 내가 니 이름도 불렀는데 못들었다고?
거지새끼 불렀잖아. 그래서 난 줄 몰랐어.
하 이새끼 어이없네. 야 너 맨날 후줄근하게 다니잖아 우리반에서 거지가 너말고 또 어딨냐? 앞으로 거지새끼하면 넌 줄 알고 똑바로 튀어와 
진짜 어이가 없네 너 앞으로 거지라고 불렀는데 바로 반응안하면 쳐맞을 줄 알아라. 거지새끼가 따박따박 말대꾸나 쳐하기는."
21,갈취 대화,"안녕 꼬마야 몇살이야
안녕하세요 6살이요
손에 든건뭐야?
돈이에요 엄마가 애호박 하나 사오래요
그래? 오늘 반찬만드실때 필요한가보네
그런가봐요.
근데 어쩌지 형이 아이스크림 사먹고 싶은데 돈이 없어
네??
애호박 사먹고도 돈이 남을거 같은데 형도 아이스크림 하나사주라
제가요??
응 착한 어린이는 불쌍한 사람도와줘야 한다고 배웠지? 얼른 사러가자
엄마가 돈 남겨오라했는데.
아가야 엄마말만 듣다가 형아한테 혼나기 전에 가자
네"
22,기타 괴롭힘 대화,"여기요! 아저씨!!
네 무슨일인가요?
청소상태가 엉망이네!!! 지금까지 뭐하고 있었어요?
네?? 무슨말씀이신지? 지금까지 순찰돌고 왔는데요.
순찰? 웃기시네! 정말 순찰 맞아요? 어디서 쉬고왔겠지!!
오해이십니다. 정말이예요!
됐고 청소좀 하고 이것좀 대신 버려줘요!! 냄새나서 분리수거장 가까이를 못가겠네
입주자님 분리수거는 직접 하셔야 합니다. 저의 역할이 아니예요
뭐라구요? 그럼 갈수있게 깨끗이 해놓던가! 그리고 우리가 낸 돈으로 급여받으면서 이것도 못해요?
진정하시구요 이번엔 해드리지만 다음엔 직접 하셔야 합니다."
23,일반 대화,"축구 월드컵 예선하는거 아세요?
축구 좋아하세요?
좋아하진 않는데 보긴 봤어요
축구보는거 재밌어요.
선수가 20대에요?
대부분 20대인 것 같아요
30대도 있어요!
좋아하는 축구선수있어요?
손흥민이요
손흥민이요!
저도요!
저도요! 하하
손흥민 말고 아는 사람이 없어요.
황의조요!
제친구남편 축구선수에요
오 유명한가요?"
24,협박 대화,"왜 배신했어? 죽고 싶어서?
배신? 네가 나를 죽이려는 이유나 들어보자
네가 들어오고 나서 내 입지가 줄었거든 너무 원망하지 마
입지가 줄었다고 사람을 죽인다고? 이 깡패야!
깡패? 네가 날 이렇게 만든 거야 살려달라고 빌어봐 그럼 살려줄 수도 있지
살려만 줘 그럼 이 세상에서 죽은 듯이 사라질게
그렇면 내가 날 더 죽이고 싶잖아
뭘하면 살려줄꺼야? 
팔 하나만 놓고 가 그럼 살려줄게 머 해? 자르지 않고?
예 형님"
25,기타 괴롭힘 대화,"너는 코가 왜 생기다 말았어?
뭐라고?
아니 그냥 코 모양이 이상하잖아. 되게 흑인들 코 같아.
나한테 왜 그래? 왜 사람 외모로 그러냐고?
아 그냥 뭐라고 한건 아니고 신기해서!
신기하다고도 하지 말아줄래?
아 기분 나쁘게 했으면 쏘리. 아 볼 때마다 웃겨 죽을것 같아.
너 진짜 뭐냐?
아. 웃긴데 어쩌라고?
그래도 사람한테 그러면 안되는거지!"
26,일반 대화,"너 만화 보는거 좋아해?
뭐 애니메이션 같은거?
어 뭐 애니 영화라던가
엄청 찾아보진 않는데 보긴 봐
나는 디즈니 진짜 좋아하거든
아~ 나도 어릴 때 디즈니 많이 봤어
아침에 일요일에 만화볼라고 일어났잖아
너도? 나도 맨날 그랬는데
101마리 강아지 진짜 좋아했었다
헐 기억나 엄청 귀여웠었는데"
27,기타 괴롭힘 대화,"야! 너희 아빠 외국인 노동자라면서? 어느 나라 사람이야?
우리아빠 그냥 일하는 사람이야! 왜?
아 그냥. 아 외노자면 보통 공장에서 일하나? 학교 건너편에 새로 짓고 있는 상가건물 지으시나?
우리 아빠 거기서 일 안하거든!
너 합법적으로 한국 있는건 맞아? 외국인들이 한국에 들어와서 참 물을 더럽혀.
너 나한테 왜그래?
아니 너한테 그러는게 아니라 팩트를 말하는거야 팩트를.
나 행복하게 잘 살고 있다고! 그러지마.
야 지나가는 사람한테 물어봐라. 10명중에 9명은 나랑 같은 생각 할거야. 이 이방인아.
아니라고."
28,기타 괴롭힘 대화,"아이고 동네 사람들 며느리가 시어머니 잡네잡아
어머니 정말 왜그러세요?
나 약먹는다 그약이 독약인지 내가 어떻게아냐
이약안먹으면 증상이 더 안좋아져요
나는 멀쩡하다
어머니 제발요 어머니때문에 온 가족이 힘들어요
아이고 이년이 이제 나 죽으라고 제사지내네
어머니 왜 그러세요 제발 정신차리세요
동네 사람들 며느리가 시어머니 약먹여 죽여요 죽여
그런거 아니에요 제발"
29,일반 대화,"난 축구 야구 낚시 좋아행
난 축구 보는 거 좋아함
난 요즘 축구에 빠졌다 하하
나 꽤나 축잘알이얌
오늘밤 축구 하겠네
그럼 오늘 치맥이가 하하
얼마 전에 토트넘 경기 봤어?
심정지 온 거 ㅠㅠ
쏘니 오늘 선발인가요
당연하지 내가 스트라이커다 하하
그거 보고 나 울었잖아
완전 감동이었지 레길론 ㅠㅠ
ㅠㅠ 다시 봐야겠네 못 봤다
나도 여성축구회 들어 갈 거야
요새도 공차로 다니나 **는
여성축구회 요즘 핫하던데... 하하 뭐하고 싶은데 하하
축구화 사줘!
나이키로 사줘!
** 회사 대표아니가 키키
키키 내가 주전이지 당연히"
30,직장 내 괴롭힘 대화,"어이 김대리 어딨는데.
과장님 거래처 때문에 잠깐 밖에요.
아닌데 내가 사우나에서 나오는 거 봤는데.
제가.
이제 전날 회식했다고 거짓말도 하네
과장님 제발요.
그러고도 월급 받는다고.
바로 들어가겠습니다.
와서 시말서 바로 해놔.
예. 알겠습니다."
31,일반 대화,"오토바이에 대해 어떻게 생각해?
나 오토바이는 진짜 타면 안된다고 생각해
근데 오토바이 속도감 있고 좋잖아
그렇지 근데 내 지인이 이번에 오토바이 샀다고 해서 물어봤어
오토바이는 죽음 지옥길이야 진짜
맞아 오토바이 사고 나면 문제가 가장 크대ㅠ
맞아 근데 오토바이 튼튼한거 사면되지 않을까?
아니야 튼튼한거를 떠나서 내가 몸으로 속도감을 느끼면 똑같아
맞아 근데 나도 전에 오토바이 타고 싶었는데 누나가 아니랬어
근데 나도 말만 이렇게 하고 타지는 않지
맞아 오토바이 절대 타지마!
알겠어 안탈게 키키"
32,일반 대화,"나도  영어 좀 잘하고 싶다
영어는 꾸준히 해야 늘어
평생 영어 공부 했는데 왜 말을 못하지
너도 얼른 공부해 늦지 않았어 키키
이런 거 졸 멘붕임 키키
맞아 키키 요즘은 필수야 완젼
나는  거의  평생 학원 다닌 듯...?
나도 매일 하고 이
유치원도 영어 유치원 나왔어
맞아 키키 외국어 유치원 대박이던데
키키 영어 학원에 쏟은 돈이 얼마야 키키
맞앜 키키
수백만원 썼어 나도
어학 연수도 다녀왔네...?
근데 영어 잘 못해
너무 비싸 교육비가 ㅠㅠ공부해야 되는데
외국어는 진짜 어려워...
돈이 문제야 진짜 ㅠㅠ비싸 아주"
33,갈취 대화,"어이 거기요
누구세요?
어 너거기 서봐
왜요?
나 지금차비가없는데 돈좀 줘봐
제가왜요?
거참말많네 그럼내가그냥뒤져서가져가?
진짜 줄돈도없어요
그럼내가 뒤져서나오면 어떻할래?
이거는 학원비내야되는돈이에요"
34,기타 괴롭힘 대화,"엄마 나 5만원만
얘는 뭐 오자마자 돈얘기야?
아 참고서사야되니까 5만원 빨리줘
넌 무슨놈의 참고서를 매일사냐?
아 그냥 좀 줘
엊그제 참고서 산다고 가져간 5만원은?
아 그건 이미 썼지
그 영수증 가져와봐
아 뭔 영수증이야? 그냥 좀 줘
야 니엄마는 돈 천원 허투로 안쓰는데 넌 맨날 돈가져다 어디다쓰냐?"
35,갈취 대화,"야 임자 나 배고프다.
나 오늘 돈 없어
그럼 너희 집으로 가자
왜?엄마계셔서 안돼
어 내가 집앞에서 기다리고 있을테니 돈가지고 나와
오늘은 집에 들어가면 못나와.
퍽! 좀 맞아야 정신 차리지
아야야제발 이러지마
더 이상 나 화나게 하지마
오늘이 진짜 마지막 이야"
36,협박 대화,"니가 이런식으로 내 전화 피하면 끝날줄 알았어?
왜이래 우리 끝났잖아
누가 니 멋대로 끝내?
나도 이제는 지쳤어. 그만하자
니 가족들 찾아가서 다 죽여야 정신차릴래?
무슨 소리를 하는거야.
니가 자꾸 이렇게 나오면 나도 내멋대로 할거야
우리 가족이 무슨 죄가 있어.
니도 고통스러워야지
우리 제발 대화로 풀어보자"
37,기타 괴롭힘 대화,"야 너이마빡에 빛이난다
어?
야 한대만 때려보자 퍽
아 흑 왜그래 
아팠어? 빛이나길래 두드려봤다 가만히있어봐 퍽퍽 야 두드리니깐 열리겠는데? 빛이 나다 열리나? 
뭔소리야 저리치워 
너 서운하게 왜그러냐 친구사이에 퍽퍽퍽 
야 너 미쳤어? 
야 광이난다 이마빡 참 예뻐 
흑흑흑"
38,일반 대화,"오늘 오후에 소나기 온대.
이렇게 추운데 눈이 아니라 비요?
키키 약간 눈도 섞여서 내릴 듯.
지금 온도면 충분해 진짜 눈일 것 같다.
혹시 모르니 우산 챙겨! 내 우산 같이 쓰지 말고.
알겠어 알겠어 가방 또 무거워지겠네.
그래도 하나 사는 것보단 낫지.
니 덕분에 우산 챙겨서 돈 아낀다 땡큐~
예보 좀 보고 다녀 맨날 새로 사지 말고.
가방 무거운 것보다 돈 쓰는 게 더 마음 편해."
39,일반 대화,"나 호텔 운영하고 싶어서 경영 수업 받고 있어
어머 대단하다. 호텔을 물려받기로 되어있는 거야?
멋있다 나중에 우리 자리 하나씩 해줘
땅이 있어서 호텔을 지을려고 공부 중이야
아. 아직 호텔을 짓지도 않았는데 공부부터 하는 거구나. 대단하다
대단히 부자 인가 보구나 너무 부럽다
부자도 편한건 아니야. 경영 수업도 받아야 하고 회계도 해야하니까 수업도 받아야해
편하지 않아도 한번은 해보고 싶다.
그래 너의 삶이 진정 부럽다
공부는 나이 먹어도 끝이 없어
맞아 죽을 때까지 배우는 거라잖아.
배움은 정말 끝이 없나 보다 힘들다 삶이"
40,일반 대화,"아이가 **님 많이 닮았나요?
저는 잘모르겠는데...
어른들이 닮았다고 하죠 하하 ?
저 어릴때 부터 보신분들은 그래요
어른들 눈이 정확 하시긴 하죠
제가 어릴 때 알밤처럼 야무지게 생겼다고 별명이 알밤이였거든요
아이도 알밤 같나요?
알밤처럼 땡글땡글하긴해요
귀엽겠네요
남들도 다귀엽데요 하하 도치맘같네요"
41,기타 괴롭힘 대화,"어으 냄새 
응? 나한테 냄새나?
어 돼지 썪은 내나 
무슨 말을 .그렇게해
좀 씻고다녀 살은 뒤룩뒤룩 쪄서 냄새 더 난다
나.잘 씻고다니는데 .
어디서 말대꾸야 씻으라면 좀 씻어
알았어 .미안해
뚱뚱하고 못생기고 어으 극혐이다
미안해 ."
42,일반 대화,"볼보라는 기업 정말 대단하더라
자동차 브랜드 맞지?
응 맞아. 자동차 브랜드인데 외국 기업이야
어떤 점이 대단해?
사고가 났을 때 운전자 사망률이 0%래
0%? 정말 대단하다. 좋은 기술을 가지고 있나 봐
응 그리고 운전자를 최우선으로 생각하자는 이념을 가지고 있대
정말 멋있는 기업이다.
안전벨트도 그 기업이 처음 개발했는데 특허를 무료로 배포했대
정말 요즘 세상에서는 찾기 힘든 따뜻한 마음을 가진 기업이다."
43,일반 대화,"나 게임에 현질할까 고민이야.
나도 요즘 너무 하고 싶어.
무슨 게임에 현질 할거야?
'클래시 로얄'이라는 게임에 할 거야.
나도 그 게임에 현질 하고싶어.
이유가 뭐야?
새로운 캐릭터가 나왔거든.
맞아, 그 캐릭터가 완전 사기야.
그럼 완전 현질 하고 싶겠네.
그 캐릭터 얼마 현질 해야하지?
7만 원 해야 해.
와... 너무 비싸..."
44,일반 대화,"아니 명품도 온라인에서 사는 거 신기
구니까 그 비싼 걸 하하
집 앞에 택배 박스 소름...
인터넷에서 살 수 있다는 것이 하하
누가 훔쳐 갈까 봐 넘 무섭
차도 인터넷으로 사고 요새는
키키 나 알지 택배 오는 거 촉각을
인터넷으로 안 되는 게 없는 듯 하하
곤두 세우고 키키 그게 넘 신기
인터넷이란 게 참 세상을
만약에 컨디션 별루면...?
편리하게 바꿨다 맞지 >/
다 환불 해주는 거겠지?
인터넷 없음 어떻게 살아갈지
아니 명품을 온라인에서 사다니 ㄷㄷ
상상도 하기 싫당 하하"
45,일반 대화,"이번 주에 가족 모임이 너무 많아.
그래? 좋은 일이라도 있어?
엄마 생신이랑 외할머니생신이야.
두 분 생신이 얼마 차이나지 않는구나.
응. 엄마 생신 이틀 뒤가 외할머니 생신이더라.
그렇구나. 맛있는 거 먹겠다.
맞아. 외할머니 생신 때 소고기 먹는대.
정말 부럽다.
나도 가고 싶어.
거기다가 케이크도 두 번이나 해야해.
그래도 좋은 날이니까 잘 보내고 와."
46,일반 대화,"요즘 체력이 부족해서 여행하기도 힘들어
맞아 몸이 진짜 너무 힘들지
나이를 먹으니 더 그런가봐
그러니깐 나이 때문인가봐
더 나이 먹기 전에 여행 많이 다니자.
그래 우리 아직 젊어 여행 많이 다니자
그래 우리 못해도 1년에 한 번 씩은 꼭 여행 같이 가자
그래 1년에 한번 여행 너무 좋지
진짜 여행 최고지
응 와이프랑 자주는 아니더라도 각자만의 시간을 서로 갖기로 했어
오 진짜 좋은데?
멋있고 쿨하다 아메리칸같아
그전에는 그렇지 않았는데 육아 때문에 개인시간이 전혀 없더라고
맞아 육아하면 진짜 개인시간 갖기 힘들지."
47,직장 내 괴롭힘 대화,"지금 바쁜데 무슨 휴간가. 안된다.
부장님. 저희 딸이 지금 많이 아픕니다. 제가 돌봐야 해요. 저 없으면 안돼요.
다른 가족들 있지 않나. 중요한 시기에 휴가는 옳지 않네.
제가 맡은 일 다 했습니다. 내일 돌아와서 바로 결재 처리하면 됩니다.
너 저번에 실수한 거. 내가 위에다 보고 안한 거 알지? 자네 봐줬다고. 근데 지금 이렇게 사람을 배신해?
아닙니다.
사람 이렇게 배신하는 거 아니야 자식 아픈 건 아내나 부모님한테 부탁하면 되는 일이고.
다른 가족들은 지금 다른 할 일이.
지금 회사가 중요한 거 모르나? 휴가 요청 철회하겠네.
제발."
48,직장 내 괴롭힘 대화,"야 새끼들이 말이야 빠져가지고 회사 성적이 이게 말이 돼!
네 죄송합니다.
야 닥쳐 왜 니가 말하고 있어
아 제가 팀장으로서.
아 자네가 팀장이었나? 그런 실력으로? 적어도 지금은 절대 아닌데
네.
자네들 일 시작하기 전에 뭐했나? 솔직히 말해봐
영화를 팀원들과 다 같이 봤습니다.
자네들 이제 영화 보는거 나한테 걸리면 해고야 일 끝나고도 그러면 똑같이 해고고
아니 부장님 너무 하신거 아니십니까? 일 끝나고 위치추척을 한다니 개인정보 침해에요
야 회사는 또 다른 군대야 개인이 아니라 팀으로 일해야 하는데 넌 안되겠다. 해고야"
49,갈취 대화,"너 얼마잇나
그걸 왜 물어
요즘 힘드러서
그래서?
니 돈 많자나
없어 
돈없으면 멀로 때울래
내가 왜 줘야 하는데
넌 약자잖아
넌 강자냐"
50,갈취 대화,"지갑을 잃어버렸는데
네?
차비만 좀 빌려줘요
네? 없는데요
여보세요
왜그러세요?
말을 잘 이해를 못하시네
현금이 없어요
그럼 손에 든 핸드폰이라도 내놔
왜이러세요"
51,일반 대화,"주택 살면 별게 다나온데
어떤게?
벌레 많지?
벌레 많을 것 같아
주택 마당엔 뱀도 있고 토끼도 간혹 온데!
벌레는 진짜 싫어 너무
헐랭 토끼도?
아 나 어제 아파트 산책 하다가 고라니 만남!
헐 뱀?
절대 못살아
웃기다 키키
고라니?
고라니 4마리 만났어! 키키
뱀 나오는 집에서 어떻게 살아
고라니 울음소리 들어봤어?
우리 아파트는 친환경 적이야
난 무조건 아파트에서 살래 ㅠㅠ
고라니 우는 거 사람 우는 것 같아
수달도 만났어!
2마리 귀여워 ㅠㅠ
맞아 키키
친환경 아파트가 짱이야
수달도 있고 친환경 아파트네"
52,일반 대화,"요즘 스펙들이 다 좋아.
요즘 고스펙의 시대잖아.
토익들은 다 900점 넘어.
그렇게나 점수가 높아?
나는 700점 중반이었어.
나는 800점 중반이었어.
토익 좀 잘했네?
내가 좀 잘했지?
토익 스피킹은 안했어?
나는 토스 안했어."
53,직장 내 괴롭힘 대화,"야 이거 걸레좀 빨아
 네? 제것도 있는데요?
 아니 내가 임신하고 회사에서 이런것까지 해야겠냐
 다같이 청소중인거잖아요.
 아니 나도 청소했어 이것 좀 빨아달아고 부탁하는거잖아
 아니 이걸 다 제가 어떻게 빨아요
 야 선배가 시키는건 다 해야지 말대꾸를 그렇게 꼬박꼬박해?
 아.
 너 줄 잘 서 나랑 계속 같이 일해야하는데 이런것도 못해?
 네.알겠습니다
 처음부터 네하고 했으면 얼마나 좋냐 어?"
